sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
girls,systolic,7.5,130,101.1,106.5,111.5,114.6,116.7,120.8,125.8
girls,systolic,7.5,133,102,107.3,112.4,115.6,117.7,121.8,126.8
girls,systolic,7.5,135,102.5,107.9,113,116.2,118.3,122.4,127.4
girls,systolic,8.5,123,99.3,104.5,109.5,112.6,114.6,118.6,123.6
girls,systolic,8.5,125,99.8,105.1,110.1,113.2,115.2,119.2,124.2
girls,systolic,8.5,128,100.7,106,111,114.2,116.2,120.3,125.3
girls,systolic,8.5,132,101.7,107.1,112.1,115.3,117.4,121.4,126.4
girls,systolic,8.5,136,102.7,108.1,113.3,116.4,118.6,122.7,127.7
girls,systolic,8.5,140,103.6,109.1,114.3,117.5,119.6,123.7,128.7
girls,systolic,8.5,142,104.2,109.7,114.9,118.1,120.3,124.4,129.4
girls,systolic,9.5,128,100.8,106.1,111.1,114.2,116.3,120.3,125.3
girls,systolic,9.5,130,101.3,106.7,111.7,114.9,117,121,126
girls,systolic,9.5,134,102.3,107.7,112.8,116,118.1,122.2,127.2
girls,systolic,9.5,138,103.4,108.8,114,117.2,119.3,123.4,128.4
girls,systolic,9.5,142,104.5,110,115.2,118.4,120.6,124.7,129.7
girls,systolic,9.5,146,105.4,111,116.3,119.6,121.7,125.9,130.9
girls,systolic,9.5,149,106,111.6,116.9,120.2,122.4,126.6,131.6
girls,systolic,10.5,133,102.5,108,113.1,116.3,118.4,122.5,127.5
girls,systolic,10.5,136,103.1,108.6,113.7,116.9,119.1,123.2,128.2
girls,systolic,10.5,140,104.1,109.6,114.8,118.1,120.2,124.4,129.4
girls,systolic,10.5,144,105.3,110.8,116.1,119.4,121.5,125.7,130.7
girls,systolic,10.5,149,106.4,112,117.3,120.6,122.8,127.1,132.1
girls,systolic,10.5,153,107.4,113.1,118.5,121.8,124,128.3,133.3
girls,systolic,10.5,155,108.1,113.8,119.2,122.5,124.7,129.1,134.1
girls,systolic,11.5,140,104.7,110.2,115.4,118.7,120.8,125,130
girls,systolic,11.5,142,105.3,110.8,116.1,119.3,121.5,125.7,130.7
girls,systolic,11.5,146,106.3,111.9,117.2,120.5,122.7,126.9,131.9
girls,systolic,11.5,151,107.4,113.1,118.4,121.7,124,128.2,133.2
girls,systolic,11.5,156,108.5,114.3,119.7,123,125.3,129.6,134.6
girls,systolic,11.5,160,109.6,115.3,120.8,124.2,126.5,130.8,135.8
girls,systolic,11.5,162,110.2,116,121.5,124.9,127.2,131.6,136.6
girls,systolic,12.5,146,106.8,112.4,117.8,121.1,123.3,127.6,132.6
girls,systolic,12.5,149,107.4,113,118.4,121.7,123.9,128.2,133.2
girls,systolic,12.5,153,108.3,114,119.4,122.8,125,129.3,134.3
girls,systolic,12.5,157,109.4,115.1,120.6,124,126.2,130.6,135.6
girls,systolic,12.5,162,110.4,116.3,121.8,125.2,127.5,131.9,136.9
girls,systolic,12.5,166,111.4,117.3,122.8,126.3,128.6,133,138
girls,systolic,12.5,168,112,117.9,123.5,126.9,129.3,133.7,138.7
girls,systolic,13.5,150,108.5,114.2,119.6,123,125.2,129.6,134.6
girls,systolic,13.5,153,109,114.8,120.2,123.6,125.8,130.2,135.2
girls,systolic,13.5,157,109.9,115.7,121.1,124.5,126.8,131.2,136.2
girls,systolic,13.5,161,110.8,116.7,122.2,125.6,127.9,132.3,137.3
girls,systolic,13.5,166,111.8,117.7,123.3,126.7,129,133.5,138.5
girls,systolic,13.5,170,112.6,118.6,124.2,127.7,130,134.5,139.5
girls,systolic,13.5,172,113.2,119.1,124.8,128.3,130.6,135.1,140.1
girls,systolic,14.5,153,109.8,115.6,121.1,124.5,126.8,131.2,136.2
girls,systolic,14.5,156,110.3,116.1,121.6,125,127.3,131.7,136.7
girls,systolic,14.5,159,111,116.9,122.4,125.9,128.2,132.6,137.6
girls,systolic,14.5,164,111.9,117.8,123.4,126.8,129.1,133.6,138.6
girls,systolic,14.5,168,112.7,118.7,124.3,127.8,130.1,134.6,139.6
girls,systolic,14.5,172,113.5,119.5,125.1,128.7,131,135.5,140.5
girls,systolic,14.5,174,113.9,120,125.6,129.2,131.5,136.1,141.1
girls,systolic,15.5,155,111,116.8,122.4,125.8,128.1,132.5,137.5
girls,systolic,15.5,157,111.4,117.2,122.8,126.2,128.5,133,138
girls,systolic,15.5,161,112,117.9,123.5,127,129.3,133.7,138.7
girls,systolic,15.5,165,112.7,118.7,124.3,127.8,130.1,134.6,139.6
girls,systolic,15.5,169,113.4,119.4,125.1,128.6,130.9,135.4,140.4
girls,systolic,15.5,173,114.1,120.1,125.8,129.3,131.7,136.2,141.2
girls,systolic,15.5,176,114.5,120.5,126.2,129.8,132.1,136.7,141.7
girls,systolic,16.5,155,112,118,123.5,127,129.3,133.8,138.8
girls,systolic,16.5,157,112.3,118.3,123.9,127.4,129.7,134.2,139.2
girls,systolic,16.5,161,112.9,118.8,124.4,127.9,130.3,134.8,139.8
girls,systolic,16.5,165,113.4,119.4,125.1,128.6,130.9,135.5,140.5
girls,systolic,16.5,170,114,120,125.7,129.2,131.6,136.1,141.1
girls,systolic,16.5,174,114.5,120.6,126.3,129.8,132.2,136.8,141.8
girls,systolic,16.5,176,114.8,120.9,126.6,130.2,132.5,137.1,142.1
girls,systolic,17.5,155,113.2,119.2,124.8,128.3,130.6,135.2,140.2
girls,systolic,17.5,157,113.4,119.4,125,128.6,130.9,135.4,140.4
girls,systolic,17.5,161,113.8,119.8,125.5,129,131.3,135.9,140.9
girls,systolic,17.5,166,114.2,120.2,125.9,129.4,131.8,136.4,141.4
girls,systolic,17.5,170,114.6,120.6,126.4,129.9,132.3,136.9,141.9
girls,systolic,17.5,174,115,121,126.8,130.3,132.7,137.3,142.3
girls,systolic,17.5,176,115.2,121.3,127,130.6,133,137.6,142.6


girls,diastolic,5.5,107,59.6,64,68,70.4,72,74.9,79.9
girls,diastolic,5.5,108,59.8,64.2,68.2,70.6,72.2,75.1,80.1
girls,diastolic,5.5,111,60.1,64.5,68.6,71,72.6,75.5,80.5
girls,diastolic,5.5,114,60.4,64.9,69,71.4,73,75.9,80.9
girls,diastolic,5.5,117,60.8,65.3,69.4,71.8,73.4,76.4,81.4
girls,diastolic,5.5,120,61.1,65.6,69.7,72.2,73.8,76.8,81.8
girls,diastolic,5.5,122,61.2,65.8,69.9,72.4,74,77,82
girls,diastolic,6.5,112,60.2,64.6,68.5,70.9,72.4,75.3,80.3
girls,diastolic,6.5,114,60.4,64.8,68.7,71.1,72.6,75.5,80.5
girls,diastolic,6.5,117,60.7,65.1,69.1,71.5,73,75.9,80.9
girls,diastolic,6.5,121,61,65.5,69.5,71.9,73.4,76.4,81.4
girls,diastolic,6.5,124,61.4,65.8,69.9,72.3,73.8,76.8,81.8
girls,diastolic,6.5,127,61.7,66.2,70.2,72.6,74.2,77.2,82.2
girls,diastolic,6.5,129,61.9,66.4,70.4,72.9,74.4,77.4,82.4
girls,diastolic,7.5,118,60.9,65.2,69.1,71.4,73,75.8,80.8
girls,diastolic,7.5,120,61.1,65.4,69.3,71.7,73.2,76.1,81.1
girls,diastolic,7.5,123,61.4,65.7,69.7,72,73.6,76.4,81.4
girls,diastolic,7.5,127,61.7,66.1,70.1,72.4,74,76.9,81.9
girls,diastolic,7.5,130,62.1,66.5,70.4,72.8,74.4,77.3,82.3
girls,diastolic,7.5,133,62.4,66.8,70.8,73.2,74.7,77.7,82.7
girls,diastolic,7.5,135,62.5,67,71,73.4,75,77.9,82.9
girls,diastolic,8.5,123,61.6,65.9,69.8,72.1,73.6,76.4,81.4
girls,diastolic,8.5,125,61.8,66.1,70,72.3,73.8,76.7,81.7
girls,diastolic,8.5,128,62.1,66.4,70.3,72.7,74.2,77.1,82.1
girls,diastolic,8.5,132,62.4,66.8,70.7,73.1,74.6,77.5,82.5
girls,diastolic,8.5,136,62.8,67.2,71.1,73.5,75,77.9,82.9
girls,diastolic,8.5,140,63.1,67.5,71.5,73.8,75.4,78.3,83.3
girls,diastolic,8.5,142,63.3,67.7,71.7,74,75.6,78.5,83.5
girls,diastolic,9.5,128,62.3,66.6,70.5,72.8,74.3,77.2,82.2
girls,diastolic,9.5,130,62.5,66.8,70.7,73,74.5,77.4,82.4
girls,diastolic,9.5,134,62.8,67.2,71.1,73.4,74.9,77.8,82.8
